datetime,Boro,Vol,name,tempmax,tempmin,temp,feelslike,dew,humidity,precip,precipcover,preciptype,snow,snowdepth,windgust,windspeed,sealevelpressure,cloudcover,visibility,conditions
2016-01-04,Bronx,32087,New York City,36.3,15.4,27.9,17.3,9.9,47.0,0.0,0.0,,0.0,0.0,32.0,22.6,1017.7,42.8,9.9,Partially cloudy
2016-01-05,Bronx,33827,New York City,28.8,11.7,20.6,12.2,-1.3,39.8,0.0,0.0,,0.0,0.0,27.9,16.5,1034.5,3.9,9.9,Clear
2016-01-06,Bronx,8710,New York City,40.4,24.8,32.4,29.2,5.0,32.4,0.0,0.0,,0.0,0.0,15.0,8.5,1033.3,4.7,9.9,Clear
2016-01-06,Manhattan,27798,New York City,40.4,24.8,32.4,29.2,5.0,32.4,0.0,0.0,,0.0,0.0,15.0,8.5,1033.3,4.7,9.9,Clear
2016-01-07,Bronx,8407,New York City,46.3,31.3,38.8,37.2,12.3,34.0,0.0,0.0,,0.0,0.0,11.9,6.3,1025.8,41.9,9.9,Partially cloudy
2016-01-07,Queens,27042,New York City,46.3,31.3,38.8,37.2,12.3,34.0,0.0,0.0,,0.0,0.0,11.9,6.3,1025.8,41.9,9.9,Partially cloudy
2016-01-08,Bronx,9161,New York City,44.7,34.9,40.2,34.6,27.3,60.1,0.0,0.0,,0.0,0.0,21.9,12.8,1022.5,78.0,9.9,Partially cloudy
2016-01-08,Queens,27978,New York City,44.7,34.9,40.2,34.6,27.3,60.1,0.0,0.0,,0.0,0.0,21.9,12.8,1022.5,78.0,9.9,Partially cloudy
2016-01-09,Bronx,8486,New York City,47.2,40.4,44.0,39.1,37.7,78.4,0.002,4.17,rain,0.0,0.0,20.8,12.8,1021.1,97.0,8.9,"Rain, Overcast"
2016-01-09,Queens,27421,New York City,47.2,40.4,44.0,39.1,37.7,78.4,0.002,4.17,rain,0.0,0.0,20.8,12.8,1021.1,97.0,8.9,"Rain, Overcast"
2016-01-10,Bronx,6670,New York City,59.2,41.3,51.2,48.3,44.8,80.2,1.684,58.33,rain,0.0,0.0,35.5,17.7,1001.8,83.8,5.8,"Rain, Partially cloudy"
2016-01-10,Queens,22644,New York City,59.2,41.3,51.2,48.3,44.8,80.2,1.684,58.33,rain,0.0,0.0,35.5,17.7,1001.8,83.8,5.8,"Rain, Partially cloudy"
2016-01-11,Bronx,7872,New York City,40.9,27.3,32.6,23.1,9.0,37.2,0.012,4.17,"rain,snow",0.0,0.0,32.2,16.6,1012.4,19.9,9.9,"Snow, Rain"
2016-01-11,Manhattan,21366,New York City,40.9,27.3,32.6,23.1,9.0,37.2,0.012,4.17,"rain,snow",0.0,0.0,32.2,16.6,1012.4,19.9,9.9,"Snow, Rain"
2016-01-11,Queens,13673,New York City,40.9,27.3,32.6,23.1,9.0,37.2,0.012,4.17,"rain,snow",0.0,0.0,32.2,16.6,1012.4,19.9,9.9,"Snow, Rain"
2016-01-12,Bronx,19821,New York City,44.1,25.2,33.3,28.7,15.3,48.3,0.002,4.17,rain,0.0,0.0,32.3,21.1,1011.4,59.5,9.9,"Rain, Partially cloudy"
2016-01-12,Manhattan,21258,New York City,44.1,25.2,33.3,28.7,15.3,48.3,0.002,4.17,rain,0.0,0.0,32.3,21.1,1011.4,59.5,9.9,"Rain, Partially cloudy"
2016-01-12,Queens,12968,New York City,44.1,25.2,33.3,28.7,15.3,48.3,0.002,4.17,rain,0.0,0.0,32.3,21.1,1011.4,59.5,9.9,"Rain, Partially cloudy"
2016-01-13,Bronx,19709,New York City,30.1,22.4,25.7,14.0,5.4,41.7,0.0,0.0,,0.0,0.0,35.5,19.0,1013.7,20.6,9.9,Partially cloudy
2016-01-13,Manhattan,21110,New York City,30.1,22.4,25.7,14.0,5.4,41.7,0.0,0.0,,0.0,0.0,35.5,19.0,1013.7,20.6,9.9,Partially cloudy
2016-01-13,Queens,13476,New York City,30.1,22.4,25.7,14.0,5.4,41.7,0.0,0.0,,0.0,0.0,35.5,19.0,1013.7,20.6,9.9,Partially cloudy
2016-01-14,Bronx,19888,New York City,38.2,22.5,30.5,24.3,11.9,45.7,0.0,0.0,,0.0,0.0,28.9,13.5,1014.1,93.2,9.9,Overcast
2016-01-14,Manhattan,22977,New York City,38.2,22.5,30.5,24.3,11.9,45.7,0.0,0.0,,0.0,0.0,28.9,13.5,1014.1,93.2,9.9,Overcast
2016-01-14,Queens,14484,New York City,38.2,22.5,30.5,24.3,11.9,45.7,0.0,0.0,,0.0,0.0,28.9,13.5,1014.1,93.2,9.9,Overcast
2016-01-15,Bronx,22440,New York City,50.5,34.6,42.4,39.6,31.1,64.3,0.003,4.17,rain,0.0,0.0,23.0,7.7,1010.3,52.8,9.5,"Rain, Partially cloudy"
2016-01-15,Manhattan,25223,New York City,50.5,34.6,42.4,39.6,31.1,64.3,0.003,4.17,rain,0.0,0.0,23.0,7.7,1010.3,52.8,9.5,"Rain, Partially cloudy"
2016-01-15,Queens,13950,New York City,50.5,34.6,42.4,39.6,31.1,64.3,0.003,4.17,rain,0.0,0.0,23.0,7.7,1010.3,52.8,9.5,"Rain, Partially cloudy"
2016-01-16,Bronx,20128,New York City,51.3,42.3,45.8,42.1,36.3,70.9,0.25,33.33,rain,0.0,0.0,31.1,16.4,1000.0,93.8,8.7,"Rain, Overcast"
2016-01-16,Manhattan,25615,New York City,51.3,42.3,45.8,42.1,36.3,70.9,0.25,33.33,rain,0.0,0.0,31.1,16.4,1000.0,93.8,8.7,"Rain, Overcast"
2016-01-16,Queens,12664,New York City,51.3,42.3,45.8,42.1,36.3,70.9,0.25,33.33,rain,0.0,0.0,31.1,16.4,1000.0,93.8,8.7,"Rain, Overcast"
2016-01-17,Bronx,16189,New York City,42.6,30.2,35.1,29.3,23.1,62.6,0.054,16.67,"rain,snow",0.0,0.0,21.9,9.5,1008.7,75.9,8.3,"Snow, Rain, Partially cloudy"
2016-01-17,Manhattan,22001,New York City,42.6,30.2,35.1,29.3,23.1,62.6,0.054,16.67,"rain,snow",0.0,0.0,21.9,9.5,1008.7,75.9,8.3,"Snow, Rain, Partially cloudy"
2016-01-17,Queens,11549,New York City,42.6,30.2,35.1,29.3,23.1,62.6,0.054,16.67,"rain,snow",0.0,0.0,21.9,9.5,1008.7,75.9,8.3,"Snow, Rain, Partially cloudy"
2016-01-18,Bronx,16960,New York City,31.2,19.1,25.4,13.6,7.5,47.7,0.002,4.17,snow,0.0,0.1,33.2,21.6,1009.8,31.4,9.7,"Snow, Partially cloudy"
2016-01-18,Queens,3990,New York City,31.2,19.1,25.4,13.6,7.5,47.7,0.002,4.17,snow,0.0,0.1,33.2,21.6,1009.8,31.4,9.7,"Snow, Partially cloudy"
2016-01-18,Staten Island,2599,New York City,31.2,19.1,25.4,13.6,7.5,47.7,0.002,4.17,snow,0.0,0.1,33.2,21.6,1009.8,31.4,9.7,"Snow, Partially cloudy"
2016-01-19,Bronx,20460,New York City,28.8,16.8,22.9,10.0,3.6,43.3,0.0,0.0,,0.0,0.5,33.8,23.9,1016.7,12.6,9.9,Clear
2016-01-19,Queens,4596,New York City,28.8,16.8,22.9,10.0,3.6,43.3,0.0,0.0,,0.0,0.5,33.8,23.9,1016.7,12.6,9.9,Clear
2016-01-19,Staten Island,2697,New York City,28.8,16.8,22.9,10.0,3.6,43.3,0.0,0.0,,0.0,0.5,33.8,23.9,1016.7,12.6,9.9,Clear
2016-01-20,Bronx,7006,New York City,36.7,27.6,32.1,25.1,15.2,49.7,0.0,0.0,,0.0,0.5,50.8,22.6,1020.5,45.7,9.9,Partially cloudy
2016-01-20,Queens,38141,New York City,36.7,27.6,32.1,25.1,15.2,49.7,0.0,0.0,,0.0,0.5,50.8,22.6,1020.5,45.7,9.9,Partially cloudy
2016-01-21,Bronx,6930,New York City,36.0,27.2,30.8,22.9,12.5,46.6,0.0,0.0,,0.0,0.3,26.8,13.9,1020.6,32.3,9.9,Partially cloudy
2016-01-21,Queens,41189,New York City,36.0,27.2,30.8,22.9,12.5,46.6,0.0,0.0,,0.0,0.3,26.8,13.9,1020.6,32.3,9.9,Partially cloudy
